"Name","PathName","State"
"embeddedmode","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"EntAppSvc","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Stopped"
"esifsvc","C:\WINDOWS\System32\Intel\DPTF\esif_uf.exe","Running"
"EventLog","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Running"
"EventSystem","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"Fax","C:\WINDOWS\system32\fxssvc.exe","Stopped"
"fdPHost","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Stopped"
"FDResPub","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Stopped"
"fhsvc","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"FontCache","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"FontCache3.0.0.0","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","Running"
"FrameServer","C:\WINDOWS\System32\svchost.exe -k Camera","Stopped"
"gpsvc","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Stopped"
"GraphicsPerfSvc","C:\WINDOWS\System32\svchost.exe -k GraphicsPerfSvcGroup","Stopped"
"HfcDisableService","C:\WINDOWS\System32\DriverStore\FileRepository\iastorac.inf_amd64_f881c4be237ce854\HfcDisableService.exe","Stopped"
"hidserv","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"HvHost","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"iaStorAfsService","C:\WINDOWS\System32\iaStorAfsService.exe","Stopped"
"IAStorDataMgrSvc","""C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe""","Running"
"icssvc","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Stopped"
"igfxCUIService2.0.0.0","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\igfxCUIService.exe","Running"
"IKEEXT","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"InstallService","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Running"
"Intel(R) Capability Licensing Service TCP IP Interface","C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_75ffca5eec865b4b\lib\SocketHeciServer.exe","Stopped"
"Intel(R) TPM Provisioning Service","C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_75ffca5eec865b4b\lib\TPMProvisioningService.exe","Stopped"
"iphlpsvc","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p","Running"
"IpxlatCfgSvc","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"jhi_service","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_ffc75848a6342fdf\jhi_service.exe","Running"
"KeyIso","C:\WINDOWS\system32\lsass.exe","Running"
"KtmRm","C:\WINDOWS\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p","Stopped"
"LanmanServer","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"LanmanWorkstation","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Running"
"lfsvc","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"LicenseManager","C:\WINDOWS\System32\svchost.exe -k LocalService -p","Running"
"lltdsvc","C:\WINDOWS\System32\svchost.exe -k LocalService -p","Stopped"
"lmhosts","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Running"
"LMS","""C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe""","Running"
"LSM",,"Running"
"LxpSvc","C:\WINDOWS\system32\svchost.exe -k netsvcs","Stopped"
"MapsBroker","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Stopped"
"MBAMService","""C:\Program Files\Malwarebytes\Anti-Malware\MBAMService.exe""","Running"
"MicrosoftEdgeElevationService","""C:\Program Files (x86)\Microsoft\Edge\Application\89.0.774.75\elevation_service.exe""","Stopped"
"MixedRealityOpenXRSvc","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"mpssvc","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Running"
"MSDTC","C:\WINDOWS\System32\msdtc.exe","Stopped"
"MSiSCSI","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Stopped"
"msiserver","C:\WINDOWS\system32\msiexec.exe /V","Stopped"
"NaturalAuthentication","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Stopped"
"NcaSvc","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p","Stopped"
"NcbService","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"NcdAutoSetup","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Stopped"
"Netlogon","C:\WINDOWS\system32\lsass.exe","Stopped"
"Netman","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"netprofm","C:\WINDOWS\System32\svchost.exe -k LocalService -p","Running"
"NetSetupSvc",,"Stopped"
"NetTcpPortSharing","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","Stopped"
"NgcCtnrSvc","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Running"
"NgcSvc","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"NlaSvc","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Running"
"nsi","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"Origin Client Service","""C:\Program Files (x86)\Origin\OriginClientService.exe""","Stopped"
"Origin Web Helper Service","""C:\Program Files (x86)\Origin\OriginWebHelperService.exe""","Stopped"
"p2pimsvc","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Stopped"
"p2psvc","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Stopped"
"PcaSvc","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"perceptionsimulation","C:\WINDOWS\system32\PerceptionSimulation\PerceptionSimulationService.exe","Stopped"
"PerfHost","C:\WINDOWS\SysWow64\perfhost.exe","Stopped"
"PhoneSvc","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Stopped"
"pla","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Stopped"
"PlugPlay","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Running"
"PNRPAutoReg","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Stopped"
"PNRPsvc","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Stopped"
"PolicyAgent","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","Stopped"
"Power","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Running"
"PrintNotify","C:\WINDOWS\system32\svchost.exe -k print","Stopped"
"ProfSvc","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"PushToInstall","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Stopped"
"QWAVE","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Running"
"RAPSService","""C:\Program Files\Rivet Networks\SmartByte\RAPSService.exe""","Running"
"RasAuto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Stopped"
"RasMan","C:\WINDOWS\System32\svchost.exe -k netsvcs","Running"
"RemoteAccess","C:\WINDOWS\System32\svchost.exe -k netsvcs","Stopped"
"RemoteRegistry","C:\WINDOWS\system32\svchost.exe -k localService -p","Stopped"
"RetailDemo","C:\WINDOWS\System32\svchost.exe -k rdxgroup","Stopped"
"RmSvc","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted","Running"
"RNDBWM","""C:\Program Files\Rivet Networks\SmartByte\RNDBWMService.exe""","Stopped"
