"LocalPort"
"55092"
"49671"
"49670"
"49669"
"49668"
"49667"
"49666"
"49665"
"49664"
"8307"
"7680"
"5700"
"445"
"443"
"135"
"59333"
"59332"
"59331"
"59327"
"59324"
"57625"
"57623"
"57622"
"57620"
"57619"
"57618"
"57617"
"57616"
"57615"
"57614"
"57613"
"55353"
"55233"
"54264"
"54235"
"54222"
"54209"
"54172"
"54163"
"59335"
"59334"
"59333"
"59331"
"59327"
"59324"
"59300"
"57621"
"57537"
"55353"
"55092"
"54264"
"54235"
"54222"
"54209"
"54172"
"54168"
"54163"
"49671"
"49669"
"49668"
"49667"
"49666"
"49665"
"49664"
"44312"
"37014"
"27060"
"27036"
"9012"
"9012"
"8884"
"8307"
"6463"
"5939"
"5040"
"912"
"902"
"443"
"139"
"135"
