"Name","SID","PrincipalSource","ObjectClass"
"DESKTOP-SHRIKE\Administrator","S-1-5-21-2586291616-2488574795-1535813694-500","Local","User"
"DESKTOP-SHRIKE\meckh","S-1-5-21-2586291616-2488574795-1535813694-1001","MicrosoftAccount","User"
