"Name","Path"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"SearchIndexer",
"SecurityHealthService",
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe"
"services",
"ServiceShell",
"SettingSyncHost","C:\WINDOWS\system32\SettingSyncHost.exe"
"SgrmBroker",
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","C:\WINDOWS\system32\sihost.exe"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe"
"SmartByteAnalyticsService",
"SmartByteNetworkService",
"smss",
"spoolsv",
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe"
"sqlwriter",
"StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"steam","C:\Program Files (x86)\Steam\steam.exe"
"SteamService",
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"SupportAssistAgent",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost","C:\WINDOWS\system32\svchost.exe"
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost","C:\WINDOWS\system32\svchost.exe"
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost","C:\WINDOWS\system32\svchost.exe"
"svchost","C:\WINDOWS\system32\svchost.exe"
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"System",
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe"
"taskhostw",
"TeamViewer_Service",
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe"
"UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe"
"vmware-authd",
"vmware-hostd",
"vmware-tray","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe"
"vmware-usbarbitrator64",
"WavesSysSvc64",
"wininit",
"winlogon",
"WinStore.App","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe"
"WmiPrvSE",
"WmiPrvSE",
"WUDFHost",
"WUDFHost",
"YourPhone","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.20111.125.0_x64__8wekyb3d8bbwe\YourPhone.exe"
